Order ID	Order Date	Order Priority	Order Quantity	Unit Price	Sales	Ship Mode	Shipping Cost	Province	Customer Segment	Product Category	Product Sub-Category	Product Container	Ship Date			
25188	03/01/2011	Medium	20	78.21	1564.1615	Regular Air	2.5	Quebec	Home Office	Technology	Telephones and Communication	Small Box	01/05/2011			
9221	03/01/2011	Low	9	8.85	79.64	Regular Air	49	Alberta	Consumer	Office Supplies	Appliances	Large Box	01/07/2011			
33473	04/01/2011	Low	50	12.00	600.22	Regular Air	3.14	Saskachewan	Corporate	Office Supplies	"Scissors, Rulers and Trimmers"	Small Pack	01/04/2011			
52486	04/01/2011	Not Specified	41	289.83	11883.2	Regular Air	7.18	Quebec	Home Office	Technology	Computer Peripherals	Small Box	01/05/2011			
6560	04/01/2011	Low	37	223.04	8252.392	Delivery Truck	35.67	Saskachewan	Corporate	Furniture	Tables	Jumbo Box	01/09/2011			
44198	04/01/2011	Critical	35	17.88	625.9485	Express Air	3.3	British Columbia	Home Office	Technology	Telephones and Communication	Small Pack	01/04/2011			
802	04/01/2011	Critical	33	11.47	378.6	Regular Air	5.63	Ontario	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	01/06/2011			
58054	04/01/2011	High	26	2.36	61.4	Regular Air	5.33	Ontario	Consumer	Furniture	Office Furnishings	Small Box	01/04/2011			
6560	04/01/2011	Low	20	8.46	169.18	Regular Air	3.5	Saskachewan	Corporate	Office Supplies	Appliances	Small Box	01/08/2011			
54528	04/01/2011	Medium	17	12.19	207.19	Regular Air	8.99	Northwest Territories	Consumer	Office Supplies	Pens & Art Supplies	Small Pack	01/06/2011			
54528	04/01/2011	Medium	15	6.14	92.03	Regular Air	0.91	Quebec	Consumer	Office Supplies	Pens & Art Supplies	Wrap Bag	01/05/2011			
54528	04/01/2011	Medium	8	11.00	88	Regular Air	2.89	Northwest Territories	Consumer	Office Supplies	Pens & Art Supplies	Small Pack	01/06/2011			
802	04/01/2011	Critical	2	19.25	38.5	Regular Air	9.4	Ontario	Corporate	Technology	Office Machines	Small Box	01/04/2011			
25028	05/01/2011	Critical	14	39.43	552.08	Express Air	5.08	Alberta	Home Office	Office Supplies	Paper	Wrap Bag	01/07/2011			
25028	05/01/2011	Critical	5	95.48	477.39	Delivery Truck	55.81	Alberta	Home Office	Furniture	Bookcases	Jumbo Box	01/06/2011			
29958	06/01/2011	High	47	6.54	307.57	Regular Air	5.19	Quebec	Consumer	Office Supplies	Binders and Binder Accessories	Small Box	01/07/2011			
29958	06/01/2011	High	32	464.41	14861.07	Delivery Truck	26	Quebec	Consumer	Furniture	Chairs & Chairmats	Jumbo Drum	01/08/2011			
8195	06/01/2011	Medium	26	3.37	87.52	Regular Air	3.97	Quebec	Consumer	Office Supplies	Pens & Art Supplies	Wrap Bag	01/07/2011			
43808	06/01/2011	Low	16	6.80	108.73	Regular Air	5.22	Ontario	Small Business	Furniture	Office Furnishings	Small Box	1/13/2011			
35845	06/01/2011	High	15	380.90	5713.48	Delivery Truck	85.63	Quebec	Corporate	Furniture	Tables	Jumbo Box	01/08/2011			
8195	06/01/2011	Medium	5	10.26	51.3	Express Air	11.15	Quebec	Consumer	Office Supplies	Paper	Small Box	01/07/2011			
8195	06/01/2011	Medium	1	8.48	8.48	Regular Air	3.63	Quebec	Consumer	Furniture	Office Furnishings	Wrap Bag	01/08/2011			
3488	07/01/2011	Medium	39	119.72	4669.19	Delivery Truck	70.2	Manitoba	Home Office	Furniture	Chairs & Chairmats	Jumbo Drum	01/10/2011			
50945	07/01/2011	Critical	27	30.89	834.0625	Regular Air	1.25	Nova Scotia	Home Office	Technology	Telephones and Communication	Small Pack	01/09/2011			
3488	07/01/2011	Medium	6	22.23	133.4	Regular Air	2.87	Manitoba	Home Office	Office Supplies	Pens & Art Supplies	Small Pack	01/08/2011			
58340	08/01/2011	Medium	36	53.79	1936.3	Regular Air	13.66	Prince Edward Island	Corporate	Office Supplies	Appliances	Small Box	01/09/2011			
7840	08/01/2011	Low	34	4.63	157.56	Regular Air	4.93	Yukon	Consumer	Technology	Computer Peripherals	Small Pack	01/12/2011			
52672	08/01/2011	Low	29	51.71	1499.5275	Regular Air	5.26	Saskachewan	Home Office	Technology	Telephones and Communication	Small Box	1/13/2011			
46402	08/01/2011	Medium	29	61.29	1777.469	Regular Air	13.99	Ontario	Consumer	Technology	Telephones and Communication	Medium Box	01/09/2011			
46402	08/01/2011	Medium	27	30.60	826.27	Regular Air	8.55	Ontario	Consumer	Furniture	Office Furnishings	Small Box	01/10/2011			
46402	08/01/2011	Medium	12	101.60	1219.1465	Express Air	2.5	Ontario	Consumer	Technology	Telephones and Communication	Small Box	01/09/2011			
40225	09/01/2011	Low	50	16.78	839.07	Regular Air	5.08	Saskachewan	Small Business	Office Supplies	Binders and Binder Accessories	Small Box	1/16/2011			
43814	09/01/2011	Medium	47	4.24	199.48	Regular Air	2.26	British Columbia	Corporate	Office Supplies	Paper	Wrap Bag	01/10/2011			
40225	09/01/2011	Low	45	125.41	5643.49	Delivery Truck	70.2	Saskachewan	Small Business	Furniture	Chairs & Chairmats	Jumbo Drum	01/11/2011			
43814	09/01/2011	Medium	40	4.93	197.1	Regular Air	2.99	British Columbia	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	01/10/2011			
14693	09/01/2011	Critical	39	6.90	268.94	Regular Air	6.41	Ontario	Corporate	Office Supplies	Paper	Small Box	01/11/2011			
14693	09/01/2011	Critical	38	22.31	847.82	Delivery Truck	45	Ontario	Corporate	Office Supplies	Storage & Organization	Jumbo Drum	01/11/2011			
23556	09/01/2011	Medium	34	345.53	11747.97	Express Air	19.99	New Brunswick	Consumer	Office Supplies	Appliances	Small Box	01/10/2011			
1445	09/01/2011	Medium	30	11.32	339.49	Regular Air	5.81	British Columbia	Corporate	Office Supplies	Pens & Art Supplies	Small Pack	01/11/2011			
19654	09/01/2011	High	8	47.71	381.69	Regular Air	6.77	Saskachewan	Home Office	Furniture	Office Furnishings	Small Box	01/09/2011			
1445	09/01/2011	Medium	3	442.03	1326.09	Regular Air	19.99	British Columbia	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	01/12/2011			
40420	10/01/2011	High	50	17.73	886.363	Regular Air	0.99	British Columbia	Corporate	Technology	Telephones and Communication	Wrap Bag	01/12/2011			
35266	10/01/2011	Not Specified	39	5.57	217.25	Regular Air	1.2	Northwest Territories	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	01/10/2011			
42081	10/01/2011	Low	36	5.23	188.34	Regular Air	5.74	Ontario	Small Business	Office Supplies	Binders and Binder Accessories	Small Box	1/15/2011			
20805	10/01/2011	High	35	11.95	418.34	Regular Air	5.16	Ontario	Home Office	Furniture	Office Furnishings	Small Box	01/12/2011			
35266	10/01/2011	Not Specified	28	214.06	5993.74	Delivery Truck	69.64	Northwest Territories	Corporate	Furniture	Tables	Jumbo Box	01/12/2011			
42081	10/01/2011	Low	26	57.46	1493.858	Regular Air	8.8	Ontario	Small Business	Technology	Telephones and Communication	Small Box	1/15/2011			
40420	10/01/2011	High	22	2.69	59.08	Regular Air	1.49	British Columbia	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	01/12/2011			
41254	10/01/2011	Critical	17	104.86	1782.68	Regular Air	5.81	Quebec	Corporate	Furniture	Office Furnishings	Medium Box	01/12/2011			
32901	10/01/2011	Critical	13	3.83	49.74	Regular Air	0.5	British Columbia	Corporate	Office Supplies	Labels	Small Box	01/11/2011			
20805	10/01/2011	High	12	5.83	69.98	Regular Air	6.98	Ontario	Home Office	Office Supplies	Binders and Binder Accessories	Small Box	1/13/2011			
20805	10/01/2011	High	12	3.80	45.61	Regular Air	0.7	Ontario	Home Office	Office Supplies	Pens & Art Supplies	Wrap Bag	01/11/2011			
41895	10/01/2011	Critical	8	3457.99	27663.92	Regular Air	24.49	British Columbia	Consumer	Technology	Copiers and Fax	Large Box	01/12/2011			
42081	10/01/2011	Low	3	10.83	32.49	Regular Air	1.39	Ontario	Small Business	Office Supplies	Envelopes	Small Box	01/12/2011			
20805	10/01/2011	High	3	5.90	17.7	Regular Air	4.79	Ontario	Home Office	Office Supplies	Paper	Small Box	01/11/2011			
4134	11/01/2011	Critical	48	133.40	6403.39	Delivery Truck	54.74	Yukon	Small Business	Furniture	Bookcases	Jumbo Box	1/13/2011			
46468	11/01/2011	Critical	46	163.83	7535.96	Regular Air	19.99	Ontario	Home Office	Office Supplies	Binders and Binder Accessories	Small Box	01/12/2011			
46468	11/01/2011	Critical	41	39.47	1618.31	Express Air	1.99	Ontario	Home Office	Technology	Computer Peripherals	Small Pack	1/13/2011			
21670	11/01/2011	High	24	81.88	1965.21	Regular Air	19.99	Ontario	Home Office	Furniture	Office Furnishings	Small Box	01/12/2011			
4134	11/01/2011	Critical	23	32.95	757.91	Regular Air	4	Yukon	Small Business	Technology	Computer Peripherals	Small Box	01/11/2011			
12773	11/01/2011	Low	21	3.70	77.62	Regular Air	3.97	Prince Edward Island	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	1/16/2011			
12773	11/01/2011	Low	19	6.88	130.67	Regular Air	7.86	Prince Edward Island	Corporate	Office Supplies	Paper	Small Box	1/16/2011			
12773	11/01/2011	Low	15	4.49	67.41	Regular Air	6.6	Prince Edward Island	Corporate	Furniture	Office Furnishings	Small Box	1/20/2011			
12773	11/01/2011	Low	6	2.83	17	Regular Air	1.49	Prince Edward Island	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	1/13/2011			
46468	11/01/2011	Critical	1	11.87	11.87	Regular Air	5.4	Ontario	Home Office	Office Supplies	Paper	Small Box	1/13/2011			
18370	13/01/2011	Low	41	31.00	1271.0475	Regular Air	5	Saskachewan	Consumer	Technology	Telephones and Communication	Small Box	1/17/2011			
55815	13/01/2011	High	28	102.15	2860.19	Express Air	10.12	Newfoundland	Corporate	Furniture	Office Furnishings	Large Box	1/14/2011			
29409	13/01/2011	High	23	1.70	38.99	Regular Air	1.99	British Columbia	Home Office	Technology	Computer Peripherals	Small Pack	1/15/2011			
21379	14/01/2011	High	35	155.10	5428.49	Delivery Truck	60.2	Nova Scotia	Corporate	Furniture	Chairs & Chairmats	Jumbo Drum	1/16/2011			
46147	15/01/2011	Critical	39	7.24	282.48	Express Air	6.05	Manitoba	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	1/17/2011			
46147	15/01/2011	Critical	37	25.02	925.8	Regular Air	12.98	Manitoba	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	1/17/2011			
49189	15/01/2011	Critical	32	7.80	249.59	Regular Air	1.39	Ontario	Home Office	Office Supplies	Envelopes	Small Box	1/18/2011			
46147	15/01/2011	Critical	12	541.87	6502.46	Delivery Truck	64.59	Manitoba	Corporate	Furniture	Tables	Jumbo Box	1/17/2011			
19365	16/01/2011	Medium	29	6.27	181.83	Regular Air	5.2	Prince Edward Island	Small Business	Office Supplies	Paper	Small Box	1/17/2011			
25669	16/01/2011	Critical	12	3.80	45.63	Regular Air	0.5	Nova Scotia	Small Business	Office Supplies	Labels	Small Box	1/16/2011			
46980	17/01/2011	Critical	34	6.36	216.3	Regular Air	0.5	Northwest Territories	Corporate	Office Supplies	Labels	Small Box	1/17/2011			
11111	17/01/2011	Medium	29	6.09	176.5	Regular Air	7.37	Ontario	Corporate	Office Supplies	Paper	Small Box	1/19/2011			
11111	17/01/2011	Medium	7	44.07	308.52	Regular Air	34.2	Ontario	Corporate	Furniture	Office Furnishings	Wrap Bag	1/19/2011			
35780	17/01/2011	Medium	6	4.76	28.55	Regular Air	1.6	British Columbia	Consumer	Office Supplies	Pens & Art Supplies	Wrap Bag	1/19/2011			
28642	18/01/2011	High	41	5.62	230.29	Regular Air	2.99	Ontario	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	1/20/2011			
28642	18/01/2011	High	27	58.96	1592.0415	Regular Air	19.99	Ontario	Corporate	Technology	Telephones and Communication	Small Box	1/20/2011			
15719	18/01/2011	Critical	18	300.30	5405.44	Delivery Truck	64.73	Ontario	Home Office	Furniture	Chairs & Chairmats	Jumbo Drum	1/19/2011			
36931	19/01/2011	Not Specified	46	3.93	180.56	Regular Air	1.6	Yukon	Home Office	Office Supplies	Pens & Art Supplies	Wrap Bag	1/19/2011			
49987	19/01/2011	High	15	119.70	1795.49	Delivery Truck	58.72	Nova Scotia	Consumer	Furniture	Bookcases	Jumbo Box	1/22/2011			
49987	19/01/2011	High	14	17.31	242.284	Regular Air	0.99	Manitoba	Consumer	Technology	Telephones and Communication	Wrap Bag	1/21/2011			
16096	19/01/2011	High	9	4.69	42.21	Express Air	0.99	Ontario	Consumer	Office Supplies	Labels	Small Box	1/20/2011			
10722	19/01/2011	Not Specified	8	5.03	40.26	Regular Air	5.68	Quebec	Home Office	Office Supplies	Paper	Small Box	1/21/2011			
49987	19/01/2011	High	4	231.65	926.58	Delivery Truck	52.2	Nova Scotia	Consumer	Furniture	Tables	Jumbo Box	1/22/2011			
22561	20/01/2011	Critical	50	8.48	424	Regular Air	3.5	Nova Scotia	Consumer	Office Supplies	Appliances	Small Box	1/22/2011			
22561	20/01/2011	Critical	7	18.37	128.62	Regular Air	8.99	Nova Scotia	Consumer	Furniture	Office Furnishings	Small Pack	1/22/2011			
22561	20/01/2011	Critical	5	100.96	504.79	Express Air	19.99	Nova Scotia	Consumer	Technology	Computer Peripherals	Small Box	1/22/2011			
35399	21/01/2011	Low	38	4.96	188.38	Regular Air	5.68	Saskachewan	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	1/23/2011			
57217	21/01/2011	Medium	35	12.06	422.25	Regular Air	7.95	Quebec	Consumer	Office Supplies	Pens & Art Supplies	Small Pack	1/23/2011			
6564	21/01/2011	Low	26	17.24	448.23	Regular Air	4	Yukon	Consumer	Technology	Computer Peripherals	Small Box	1/21/2011			
16837	21/01/2011	Not Specified	4	249.25	997	Delivery Truck	54.31	Manitoba	Consumer	Furniture	Chairs & Chairmats	Jumbo Drum	1/22/2011			
21606	22/01/2011	Not Specified	43	31.97	1374.7	Express Air	5.5	Ontario	Small Business	Technology	Computer Peripherals	Small Box	1/23/2011			
9824	22/01/2011	Critical	43	2.69	115.81	Regular Air	1.01	Yukon	Consumer	Office Supplies	Pens & Art Supplies	Wrap Bag	1/24/2011			
9824	22/01/2011	Critical	39	49.73	1939.66	Express Air	4.5	Yukon	Consumer	Office Supplies	Appliances	Small Box	1/24/2011			
2883	22/01/2011	Low	34	63.36	2154.34	Regular Air	6.88	British Columbia	Consumer	Office Supplies	Storage & Organization	Small Box	1/24/2011			
21606	22/01/2011	Not Specified	29	17.81	516.62	Regular Air	1.99	Quebec	Small Business	Technology	Computer Peripherals	Small Pack	1/23/2011			
9824	22/01/2011	Critical	5	4.31	21.56	Regular Air	0.5	Yukon	Consumer	Office Supplies	Labels	Small Box	1/24/2011			
50208	22/01/2011	Medium	4	9.69	38.76	Express Air	6.97	Nova Scotia	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	1/23/2011			
49443	23/01/2011	High	41	9.66	396.15	Regular Air	4.82	Quebec	Home Office	Office Supplies	Pens & Art Supplies	Wrap Bag	1/24/2011			
49761	24/01/2011	Not Specified	45	24.24	1090.6	Regular Air	6.3	British Columbia	Corporate	Technology	Office Machines	Medium Box	1/25/2011			
21890	24/01/2011	Not Specified	44	11.26	495.5	Regular Air	6.97	Yukon	Small Business	Office Supplies	Envelopes	Small Box	1/26/2011			
21890	24/01/2011	Not Specified	27	3.03	81.9	Regular Air	0.96	Newfoundland	Small Business	Office Supplies	Pens & Art Supplies	Wrap Bag	1/26/2011			
47136	24/01/2011	Medium	18	5.00	89.99	Regular Air	1.49	Nova Scotia	Small Business	Office Supplies	Binders and Binder Accessories	Small Box	1/26/2011			
386	24/01/2011	High	4	3.92	15.69	Regular Air	0.7	Ontario	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	1/26/2011			
386	24/01/2011	High	4	3.74	14.96	Regular Air	0.5	Ontario	Corporate	Office Supplies	Labels	Small Box	1/26/2011			
25095	25/01/2011	Low	41	109.15	4475.03	Delivery Truck	56.14	Ontario	Consumer	Technology	Office Machines	Jumbo Drum	1/25/2011			
33091	25/01/2011	High	24	11.06	265.35	Regular Air	11.59	Ontario	Home Office	Office Supplies	Paper	Small Box	1/27/2011			
25095	25/01/2011	Low	18	38.50	693.06	Regular Air	9.83	Ontario	Consumer	Office Supplies	Envelopes	Small Box	1/30/2011			
52199	26/01/2011	Medium	19	4.85	92.24	Regular Air	5.24	Alberta	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	1/27/2011			
24388	26/01/2011	Critical	15	577.49	8662.34	Delivery Truck	49	Prince Edward Island	Corporate	Technology	Copiers and Fax	Jumbo Drum	1/27/2011			
49601	26/01/2011	Low	15	117.10	1756.46	Delivery Truck	30	Manitoba	Home Office	Furniture	Chairs & Chairmats	Jumbo Drum	02/02/2011			
51974	26/01/2011	High	10	129.04	1290.37	Regular Air	24.49	Saskachewan	Small Business	Office Supplies	Appliances	Large Box	1/27/2011			
51974	26/01/2011	High	2	11.59	23.18	Regular Air	6.19	Saskachewan	Small Business	Office Supplies	Binders and Binder Accessories	Small Box	1/27/2011			
24960	27/01/2011	High	48	36.67	1760.35	Express Air	7.53	Ontario	Small Business	Technology	Computer Peripherals	Small Box	1/28/2011			
15106	27/01/2011	Not Specified	42	6.75	283.58	Regular Air	4.95	Northwest Territories	Home Office	Furniture	Office Furnishings	Small Pack	1/29/2011			
15106	27/01/2011	Not Specified	39	138.55	5403.37	Delivery Truck	17.85	Northwest Territories	Home Office	Technology	Office Machines	Jumbo Drum	1/27/2011			
24960	27/01/2011	High	37	38.84	1436.94	Regular Air	5.08	Ontario	Small Business	Office Supplies	Paper	Wrap Bag	1/28/2011			
24960	27/01/2011	High	35	165.65	5797.68	Regular Air	4.2	Ontario	Small Business	Technology	Telephones and Communication	Small Box	1/28/2011			
15106	27/01/2011	Not Specified	35	2.35	82.15	Regular Air	1.12	Northwest Territories	Home Office	Office Supplies	Pens & Art Supplies	Wrap Bag	1/29/2011			
24960	27/01/2011	High	18	6.99	125.8	Regular Air	5.87	Ontario	Small Business	Office Supplies	Paper	Small Box	1/29/2011			
59652	27/01/2011	Medium	17	18.36	312.035	Regular Air	0.99	Yukon	Home Office	Technology	Telephones and Communication	Small Pack	1/29/2011			
26529	28/01/2011	Low	41	295.74	12125.14	Delivery Truck	14.7	Saskachewan	Consumer	Technology	Office Machines	Jumbo Drum	02/01/2011			
59047	28/01/2011	Not Specified	26	4.38	113.85	Regular Air	6.6	Prince Edward Island	Corporate	Furniture	Office Furnishings	Small Box	1/30/2011			
26529	28/01/2011	Low	17	11.87	201.72	Regular Air	11.25	Alberta	Consumer	Office Supplies	Paper	Small Box	02/01/2011			
59047	28/01/2011	Not Specified	10	26.69	266.94	Regular Air	1.99	Prince Edward Island	Corporate	Technology	Computer Peripherals	Small Pack	1/28/2011			
59139	29/01/2011	Critical	38	4.99	189.49	Regular Air	2.99	Alberta	Home Office	Office Supplies	Binders and Binder Accessories	Small Box	1/30/2011			
30151	29/01/2011	Not Specified	31	25.57	792.76	Regular Air	12.98	Quebec	Home Office	Office Supplies	Binders and Binder Accessories	Small Box	1/31/2011			
59139	29/01/2011	Critical	12	70.79	849.51	Regular Air	3.5	Alberta	Home Office	Office Supplies	Appliances	Small Box	1/30/2011			
24640	29/01/2011	Medium	12	115.00	1379.98	Delivery Truck	30	Ontario	Home Office	Furniture	Chairs & Chairmats	Jumbo Drum	1/30/2011			
8480	29/01/2011	High	11	6.94	76.36	Regular Air	8.74	Ontario	Corporate	Office Supplies	Paper	Small Box	1/31/2011			
8480	29/01/2011	High	3	103.30	309.9015	Regular Air	7.69	Ontario	Corporate	Technology	Telephones and Communication	Small Box	1/31/2011			
21760	30/01/2011	Not Specified	9	7.91	71.2	Regular Air	5.21	Yukon	Home Office	Furniture	Office Furnishings	Small Box	1/31/2011			
52482	31/01/2011	Critical	30	23.91	717.21	Regular Air	3.63	Manitoba	Corporate	Furniture	Office Furnishings	Small Pack	02/02/2011			
58981	31/01/2011	High	28	45.10	1262.75	Regular Air	5.1	Alberta	Corporate	Office Supplies	Appliances	Medium Box	02/02/2011			
52482	31/01/2011	Critical	21	40.39	848.2	Express Air	5.33	Manitoba	Corporate	Office Supplies	Appliances	Small Box	1/31/2011			
8802	31/01/2011	Medium	15	124.41	1866.12	Regular Air	24.49	Saskachewan	Small Business	Office Supplies	Appliances	Large Box	02/02/2011			
27430	31/01/2011	High	12	6.89	82.64	Regular Air	2.35	Quebec	Small Business	Office Supplies	Pens & Art Supplies	Wrap Bag	02/01/2011			
27430	31/01/2011	High	3	105.09	315.27	Regular Air	13.99	Nova Scotia	Small Business	Furniture	Office Furnishings	Medium Box	02/01/2011			
24160	01/02/2011	Medium	44	82.83	3644.596	Regular Air	4.9	Saskachewan	Home Office	Technology	Telephones and Communication	Small Box	02/02/2011			
55075	01/02/2011	Critical	21	26.50	556.45	Delivery Truck	14.36	Nova Scotia	Home Office	Furniture	Chairs & Chairmats	Jumbo Drum	02/04/2011			
6791	01/02/2011	Medium	14	52.17	730.33	Express Air	10.17	Alberta	Small Business	Technology	Office Machines	Medium Box	02/03/2011			
31140	01/02/2011	Critical	4	3.36	13.42	Regular Air	0.99	Saskachewan	Home Office	Office Supplies	Labels	Small Box	02/02/2011			
21956	01/02/2011	High	2	62.64	125.273	Regular Air	8.99	Manitoba	Consumer	Technology	Telephones and Communication	Small Box	02/03/2011			
21639	02/02/2011	Not Specified	38	205.65	7814.59	Regular Air	11.54	Yukon	Home Office	Furniture	Office Furnishings	Large Box	02/02/2011			
33958	02/02/2011	Critical	27	17.12	462.366	Regular Air	3.3	Nova Scotia	Small Business	Technology	Telephones and Communication	Small Pack	02/04/2011			
21639	02/02/2011	Not Specified	24	6.05	145.15	Regular Air	9.92	Yukon	Home Office	Office Supplies	Binders and Binder Accessories	Small Box	02/04/2011			
21639	02/02/2011	Not Specified	23	6.91	158.99	Regular Air	9.69	Yukon	Home Office	Office Supplies	Storage & Organization	Small Box	02/02/2011			
45543	02/02/2011	Low	16	76.46	1223.43	Delivery Truck	89.3	Ontario	Corporate	Furniture	Tables	Jumbo Box	02/06/2011			
33958	02/02/2011	Critical	14	24.03	336.48	Regular Air	5.37	Nova Scotia	Small Business	Office Supplies	Pens & Art Supplies	Small Box	02/04/2011			
12326	02/02/2011	Critical	4	30.96	123.82	Regular Air	57.87	Ontario	Small Business	Furniture	Office Furnishings	Small Box	02/04/2011			
21639	02/02/2011	Not Specified	3	43.83	131.5	Regular Air	9.2	Yukon	Home Office	Furniture	Office Furnishings	Wrap Bag	02/03/2011			
38784	03/02/2011	Medium	50	5.96	298.12	Regular Air	0.5	British Columbia	Home Office	Office Supplies	Labels	Small Box	02/05/2011			
40102	03/02/2011	Medium	46	8.96	412.37	Express Air	3.5	Alberta	Corporate	Office Supplies	Appliances	Small Box	02/05/2011			
45059	03/02/2011	Not Specified	39	87.23	3401.8	Express Air	19.99	Nova Scotia	Consumer	Office Supplies	Storage & Organization	Small Box	02/05/2011			
45059	03/02/2011	Not Specified	35	37.93	1327.59	Express Air	2.9	Nova Scotia	Consumer	Office Supplies	Pens & Art Supplies	Small Pack	02/04/2011			
21057	03/02/2011	Low	28	39.42	1103.67	Regular Air	1.99	Quebec	Corporate	Technology	Computer Peripherals	Small Pack	02/10/2011			
45059	03/02/2011	Not Specified	4	32.54	130.14	Regular Air	8.65	Ontario	Consumer	Technology	Computer Peripherals	Small Box	02/05/2011			
34978	04/02/2011	High	49	3.38	165.51	Regular Air	6.83	Prince Edward Island	Consumer	Office Supplies	Binders and Binder Accessories	Small Box	02/06/2011			
50949	04/02/2011	Medium	46	104.44	4804.0385	Regular Air	8.8	Ontario	Corporate	Technology	Telephones and Communication	Small Box	02/06/2011			
50949	04/02/2011	Medium	32	2.30	73.55	Express Air	0.78	Ontario	Corporate	Office Supplies	Rubber Bands	Wrap Bag	02/05/2011			
32484	04/02/2011	Not Specified	9	278.07	2502.67	Delivery Truck	64.73	Saskachewan	Corporate	Furniture	Chairs & Chairmats	Jumbo Drum	02/05/2011			
29767	05/02/2011	High	48	86.52	4153.06	Regular Air	0.99	British Columbia	Home Office	Office Supplies	Appliances	Small Box	02/06/2011			
41926	05/02/2011	High	43	36.34	1562.69	Regular Air	8.22	Ontario	Small Business	Office Supplies	Storage & Organization	Small Box	02/05/2011			
29028	05/02/2011	Critical	43	398.40	17131.36	Delivery Truck	14.7	Manitoba	Corporate	Technology	Office Machines	Jumbo Drum	02/07/2011			
32007	05/02/2011	Low	41	425.58	17448.75	Delivery Truck	75.23	Alberta	Consumer	Furniture	Tables	Jumbo Box	02/09/2011			
11719	05/02/2011	Not Specified	30	20.53	616.01	Regular Air	8.99	Manitoba	Home Office	Office Supplies	Pens & Art Supplies	Small Pack	02/05/2011			
41926	05/02/2011	High	17	6.62	112.57	Regular Air	5.14	Ontario	Small Business	Office Supplies	Paper	Small Box	02/06/2011			
11719	05/02/2011	Not Specified	17	25.80	438.6085	Regular Air	8.59	Manitoba	Home Office	Technology	Telephones and Communication	Medium Box	02/05/2011			
14503	05/02/2011	Not Specified	14	31.32	438.47	Express Air	2.99	Manitoba	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	02/06/2011			
21155	05/02/2011	High	4	20.45	81.78	Regular Air	5.97	New Brunswick	Consumer	Office Supplies	Paper	Small Box	02/06/2011			
11719	05/02/2011	Not Specified	3	522.27	1566.8	Delivery Truck	69.3	Manitoba	Home Office	Technology	Office Machines	Jumbo Drum	02/06/2011			
